publisher,year,market_share_pct
Bandai,1996,0.1639717604190389
Bandai,1997,0.6552487685842107
Bandai,1999,0.4647733829091609
Bandai,2000,0.6647990968766986
Bandai,2001,0.38957399103139007
Bandai,2002,0.37778617302606715
Bandai,2003,0.6826445054537364
Bandai,2004,0.13751747148203253
Bandai,2005,0.02941810978838574
Bandai,2006,0.019772081820469516
Bandai,2007,0.0015367356660980738
Bandai,2011,0.029563160823594895
Bandai Namco Entertainment,2017,0.005210504376823675
Bandai Namco Entertainment,2018,1.1759935117599352
Bandai Namco Entertainment,2019,7.450980392156862
Bandai Namco Games,2011,0.0017390094602114643
Bandai Namco Games,2012,0.05399694799859142
Bandai Namco Games,2013,0.022292678093728317
Bandai Namco Games,2016,0.09691579727495579
Bandai Namco Games,2017,0.005210504376823675
Bandai Namco Games,2018,0.6353068396864019
Banpresto,1991,1.5115589804386484
Banpresto,1992,0.19415119524329572
Banpresto,1993,2.9814100315678713
Banpresto,1994,0.6361584239688077
Banpresto,1995,0.6971197945331131
Banpresto,1996,0.48280573901161455
Banpresto,1997,0.39314926115052645
Banpresto,1998,0.2400466376324542
Banpresto,1999,0.23719469196743384
Banpresto,2000,0.3344901116360748
Banpresto,2001,0.40639013452914796
Banpresto,2002,0.2408386853041178
Banpresto,2003,0.3240088051247807
Banpresto,2004,0.17358762793633614
Banpresto,2005,0.2588793661377945
Banpresto,2006,0.10964518100442187
Banpresto,2007,0.24587770657569186
Banpresto,2008,0.0630635465865178
Banpresto,2009,0.04434774172983914
Banpresto,2011,0.10781858653311079
Benesse,2007,0.029197977655863405
Benesse,2008,0.018784886217260627
Bergsala Lightweight,2014,0.002687810778121221
Berkeley,2001,0.008408071748878922
Best Media,2008,0.0013417775869471874
Bethesda Softworks,2002,0.3093124291650925
Bethesda Softworks,2003,0.3042220078652521
Bethesda Softworks,2004,0.056359619459849394
Bethesda Softworks,2005,0.0372629390652886
Bethesda Softworks,2006,0.05212639752669237
Bethesda Softworks,2007,0.21360625758763227
Bethesda Softworks,2008,1.5282846715328462
Bethesda Softworks,2009,0.2494560472303452
Bethesda Softworks,2010,1.2864835097595304
Bethesda Softworks,2011,4.3631747356705635
Bethesda Softworks,2012,1.157412841882851
Bethesda Softworks,2013,0.8099673040721288
Bethesda Softworks,2014,2.3330197554092207
Bethesda Softworks,2015,7.112345893384273
Bethesda Softworks,2016,6.003078501795791
Bethesda Softworks,2017,4.887453105460608
Bethesda Softworks,2018,1.8856447688564468
Big Ben Interactive,2002,0.021250472232716276
Big Ben Interactive,2004,0.01127192389196988
Big Ben Interactive,2008,0.002683555173894375
Big Ben Interactive,2009,0.11225522125365532
Big Ben Interactive,2011,0.0017390094602114643
Big Ben Interactive,2013,0.004953928465272959
Big Ben Interactive,2018,0.20951608542849418
Big Fish Games,2008,0.002683555173894375
Big Fish Games,2014,0.010751243112484885
Big Fish Games,2015,0.013891300573016154
Big Fish Games,2016,0.0057009292514679875
Big Fish Games,2019,0.784313725490196
Bigben Interactive,2015,0.29866296231984735
Bigben Interactive,2016,0.06841115101761586
Bigben Interactive,2017,0.1302626094205919
Bigben Interactive,2018,0.09462016761286833
Black Bean Games,2005,0.001961207319225716
Black Bean Games,2007,0.016904092327078814
Black Bean Games,2008,0.07916487762988406
Black Bean Games,2009,0.04711947558795409
Black Bean Games,2010,0.18356482897876775
Black Bean Games,2011,0.11129660545353375
Black Bean Games,2012,0.018781547129944842
Black Label Games,2002,0.28333962976955035
Black Pearl,1996,0.22318378501480296
Blast! Entertainment Ltd,2007,0.026124506323667255
Blast! Entertainment Ltd,2008,0.004025332760841562
Blast! Entertainment Ltd,2009,0.027717338581149463
Blizzard Entertainment,2014,1.0401827711329126
Blizzard Entertainment,2018,0.4528250878615841
Blue Byte,2001,0.008408071748878922
Bohemia Interactive,2013,0.029723570791637753
