publisher,year,publisher_global_sales,game_count,avg_sales_per_game,platform_count,genre_count,year_total_sales,market_share_pct,publisher_rank_in_year
2K Sports,2008,0.03,1,0.03,1,1,745.2800000000001,0.004025332760841562,161
2K Sports,2009,0.01,1,0.01,1,1,721.5699999999994,0.001385866929057473,178
2K Sports,2011,0.39,3,0.13,3,1,575.0399999999997,0.06782136894824711,69
2K Sports,2012,0.01,1,0.01,1,1,425.9499999999997,0.0023476933912431053,111
2K Sports,2016,0.03,1,0.03,1,1,175.41000000000005,0.017102787754403964,86
2K Sports,2017,8.209999999999999,8,1.0262499999999999,5,1,191.92000000000004,4.277824093372237,7
2K Sports,2018,6.13,5,1.226,3,2,147.96000000000004,4.1430116247634485,6
3 O'Clock,2007,0.03,1,0.03,1,1,650.7300000000002,0.004610206998294222,133
3DO,1998,0.4,2,0.2,2,1,291.6100000000001,0.13716950721854526,46
3DO,1999,4.140000000000001,6,0.6900000000000001,2,2,311.97999999999996,1.3270081415475354,17
3DO,2000,3.8899999999999997,12,0.32416666666666666,3,6,239.17,1.6264581678304133,18
3DO,2001,1.5600000000000005,12,0.13,2,6,356.80000000000007,0.43721973094170413,29
3DO,2002,0.6000000000000001,4,0.15,1,4,423.5200000000001,0.1416698148847752,45
3DO,2003,0.45,3,0.15,3,2,404.3099999999997,0.11130073458484833,57
49Games,2009,0.04,1,0.04,1,1,721.5699999999994,0.005543467716229892,145
505 Games,2002,0.29,1,0.29,1,1,423.5200000000001,0.06847374386097467,61
505 Games,2003,0.1,1,0.1,1,1,404.3099999999997,0.024733496574410742,77
505 Games,2004,0.8900000000000001,10,0.089,3,6,443.5800000000001,0.20064024527706387,37
505 Games,2005,1.2700000000000002,13,0.09769230769230769,3,5,509.8899999999998,0.249073329541666,30
505 Games,2006,7.509999999999997,23,0.3265217391304347,5,6,556.3399999999995,1.3498939497429636,14
505 Games,2007,10.440000000000003,29,0.36000000000000004,5,9,650.7300000000002,1.6043520354063896,16
505 Games,2008,2.889999999999999,15,0.19266666666666665,5,8,745.2800000000001,0.387773722627737,31
505 Games,2009,8.03,33,0.24333333333333332,6,9,721.5699999999994,1.1128511440331508,18
505 Games,2010,14.659999999999995,27,0.542962962962963,4,6,653.7199999999998,2.242550327357278,16
505 Games,2011,3.309999999999999,22,0.15045454545454545,6,8,575.0399999999997,0.5756121313299946,26
505 Games,2012,2.3399999999999994,8,0.2925,4,5,425.9499999999997,0.5493602535508865,21
505 Games,2013,2.31,6,0.385,4,2,403.7200000000002,0.5721787377390267,21
505 Games,2014,3.5500000000000007,10,0.355,4,2,372.04999999999984,0.9541728262330338,18
505 Games,2015,0.7300000000000001,5,0.14600000000000002,3,3,287.9499999999999,0.25351623545754487,31
505 Games,2016,0.54,7,0.07714285714285715,5,3,175.41000000000005,0.30785017957927135,30
505 Games,2017,0.8500000000000002,14,0.06071428571428571,2,7,191.92000000000004,0.4428928720300125,28
505 Games,2018,1.0200000000000002,8,0.1275,3,6,147.96000000000004,0.689375506893755,23
5pb,2008,0.13999999999999999,9,0.015555555555555555,2,1,745.2800000000001,0.018784886217260623,108
5pb,2009,0.24000000000000007,13,0.01846153846153846,3,2,721.5699999999994,0.03326080629737937,96
5pb,2010,0.3,11,0.027272727272727275,3,3,653.7199999999998,0.04589120724469193,78
5pb,2011,0.35000000000000003,9,0.03888888888888889,3,4,575.0399999999997,0.06086533110740125,76
5pb,2012,0.37,12,0.03083333333333333,3,5,425.9499999999997,0.0868646554759949,41
5pb,2013,0.19000000000000006,10,0.019,4,4,403.7200000000002,0.04706232042009313,49
5pb,2014,0.19000000000000006,13,0.014615384615384615,4,3,372.04999999999984,0.051068404784303224,45
5pb,2015,0.43000000000000005,14,0.030714285714285715,5,4,287.9499999999999,0.14933148115992367,43
5pb,2016,0.14,7,0.02,2,3,175.41000000000005,0.07981300952055184,48
5pb,2017,0.20000000000000007,14,0.014285714285714287,2,2,191.92000000000004,0.10421008753647354,53
5pb,2018,0.01,1,0.01,1,1,147.96000000000004,0.006758583400919165,111
704Games,2017,0.25,2,0.125,2,1,191.92000000000004,0.1302626094205919,48
704Games,2018,0.23,2,0.115,2,1,147.96000000000004,0.1554474182211408,48
7G//AMES,2010,0.01,1,0.01,1,1,653.7199999999998,0.0015297069081563978,158
7G//AMES,2011,0.07,3,0.023333333333333334,2,2,575.0399999999997,0.012173066221480252,112
8-4,2018,0.02,1,0.02,1,1,147.96000000000004,0.01351716680183833,102
989 Sports,1999,0.38,1,0.38,1,1,311.97999999999996,0.12180267965895251,55
989 Studios,1997,0.52,2,0.26,1,2,221.29000000000005,0.23498576528537207,46
989 Studios,1998,7.97,7,1.1385714285714286,1,3,291.6100000000001,2.7331024313295145,10
989 Studios,1999,6.74,8,0.8425,1,3,311.97999999999996,2.160394897108789,11
A1 Games,2001,0.02,1,0.02,1,1,356.80000000000007,0.005605381165919281,95
AIA,2003,0.05,1,0.05,1,1,404.3099999999997,0.012366748287205371,83
